section,Trace,Comment,Length,Area,
11,4align5,,3.18483,0.139822,
11,4align6,,3.18483,0.139822,
11,4align7,,3.18483,0.139822,
11,4align8,,3.1845,0.139801,
11,4align9,,3.18483,0.139822,
11,5align1,,6.0738,0.24344,
11,5align10,,6.0739,0.243437,
11,5align2,,6.0739,0.243406,
11,5align3,,6.07387,0.24345,
11,5align4,,6.07383,0.243439,
11,5align5,,6.0739,0.243394,
11,5align6,,6.07376,0.243437,
11,5align7,,6.07385,0.243468,
11,5align8,,6.07381,0.243439,
11,5align9,,6.07373,0.243429,
11,d001,,2.70567,0.489289,
11,D001,,0.46756,0.0075933,
11,d002,,2.0918,0.183313,
11,D002,,0.3702,0.00475862,
11,d005,DDH traced 5/10/2019,2.26602,0.267843,
11,d005_c03,,0.578379,0.0215019,
11,d005_c05,,0.582954,0.0195137,
11,d005_cfa03,,0.200245,0,
11,d005_cfa05,,0.209479,0,
11,d005_o03,symmetric candidate,0.0754137,0.00027328,
11,d005_o04,,0.0806104,0.000406125,
11,d005_p03,DDH traced 5/10/2019,1.89596,0.0985822,
11,d005_p04,,0.413145,0.00618389,
11,d005_p05,DDH traced 5/10/2019,0.946442,0.0475752,
11,TEM FIELD,,35.965,80.6231,
12,3align1,,1.57527,0.119291,
12,3align10,,1.57527,0.119291,
12,3align2,,1.57527,0.119291,
12,3align3,,1.57526,0.119289,
12,3align4,,1.57527,0.119291,
12,3align5,,1.57527,0.119291,
12,3align6,,1.57526,0.119288,
12,3align7,,1.57527,0.119291,
12,3align8,,1.57527,0.119291,
12,3align9,,1.57527,0.119291,
12,4align1,,3.1381,0.135634,
12,4align10,,3.1381,0.135634,
12,4align2,,3.13805,0.135633,
12,4align3,,3.13807,0.135631,
12,4align4,,3.13811,0.135636,
12,4align5,,3.13794,0.135619,
12,4align6,,3.13819,0.135627,
12,4align7,,3.1381,0.135634,
12,4align8,,3.13794,0.135619,
12,4align9,,3.13794,0.135619,
12,d001,,2.60307,0.489553,
12,D001,,0.46754,0.00759291,
12,d002,,2.13618,0.212037,
12,D002,,0.37,0.00475553,
12,d005,DDH traced 5/10/2019,2.26921,0.271456,
12,d005_c03,,0.293704,0.00642746,
12,d005_c05,,0.303387,0.00689579,
12,d005_cfa03,,0.0684775,0,
12,d005_cfa05,,0.0873958,0,
12,d005_o03,symmetric candidate,0.0754137,0.00027328,
12,d005_o04,,0.0806104,0.000406125,
12,d005_p03,DDH traced 5/10/2019,1.79478,0.098984,
12,d005_p04,DDH traced 5/10/2019,0.857281,0.0261517,
12,d005_p05,DDH traced 5/10/2019,0.976451,0.047276,
12,d005_SER_p04,,0.2416,0.0020281,
12,TEM FIELD,,35.965,80.6231,
13,2align1,,2.28796,0.0642848,
13,2align10,,2.28796,0.0642848,
13,2align11,,2.28796,0.0642848,
